,track_name,artist,duration_ms,album,release_date,popularity,associated_kpop_group,spotify_track_id,artist_id,artist_followers,artist_popularity,artist_genres,user_playlist_count,which_user_playlists,company,big4,gender,debut,days_since_release,age_days,collab,playlist_exposure
175,SO BAD,STAYC,212264,Star To A Young Culture,2020-11-12,59,STAYC,13KR2yNRDrbKwR3dOKCDl4,01XYiBYaoMJcNhPokrg0l0,2079770,63,k-pop,0,0,High Up Entertainment,0,F,2020-11-12,1724,1724,0,0
176,Teddy Bear,STAYC,189773,Teddy Bear,2023-02-14,57,STAYC,4kSDi21MeOoSvpZs6MveI9,01XYiBYaoMJcNhPokrg0l0,2079770,63,k-pop,0,0,High Up Entertainment,0,F,2020-11-12,900,1724,0,0
177,Bubble,STAYC,179275,TEENFRESH,2023-08-16,57,STAYC,4P5ozkI1bxiGxA5rZ27jlO,01XYiBYaoMJcNhPokrg0l0,2079770,63,k-pop,0,0,High Up Entertainment,0,F,2020-11-12,717,1724,0,0
178,BEAUTIFUL MONSTER,STAYC,180000,WE NEED LOVE,2022-07-19,55,STAYC,56s2s5e8WuBsWVKnmz6J9L,01XYiBYaoMJcNhPokrg0l0,2079770,63,k-pop,0,0,High Up Entertainment,0,F,2020-11-12,1110,1724,0,0
179,HOT SAUCE,BABYMONSTER,147807,HOT SAUCE,2025-07-01,80,BABYMONSTER,3AjfuVk6olyesS7cVfofBE,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,1,2EoheVFjqIxgJMb8VnDRtZ,YG Entertainment,1,F,2024-04-01,32,488,0,1
180,DRIP,BABYMONSTER,180845,DRIP,2024-11-01,79,BABYMONSTER,198zDKzyktXRG1PGpidY9h,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,274,488,0,0
181,SHEESH,BABYMONSTER,170356,BABYMONS7ER,2024-04-01,79,BABYMONSTER,1njlnn8ZKHI77Pe9szIONR,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,488,488,0,0
182,FOREVER,BABYMONSTER,212734,DRIP,2024-11-01,72,BABYMONSTER,6b6KXDbDn0s0Jepxm8a3nr,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,274,488,0,0
183,LIKE THAT,BABYMONSTER,168358,BABYMONS7ER,2024-04-01,75,BABYMONSTER,7GDgpad2BQVuDUzaxHFakc,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,488,488,0,0
184,BATTER UP,BABYMONSTER,188179,BATTER UP,2023-11-27,74,BABYMONSTER,3VBj0lzjmhTzVFPEDOjNCG,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,1,5EPJPyctDDc1omacvILCsu,YG Entertainment,1,F,2024-04-01,614,488,0,1
185,BILLIONAIRE,BABYMONSTER,157179,DRIP,2024-11-01,73,BABYMONSTER,0QICKhP44TRnb4EurQ3tN9,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,274,488,0,0
186,CLIK CLAK,BABYMONSTER,169073,DRIP,2024-11-01,71,BABYMONSTER,0Rq9lIn9fl4wiW9Tg72ifr,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,274,488,0,0
187,Really Like You,BABYMONSTER,197657,DRIP,2024-11-01,69,BABYMONSTER,3entdIWiOuQfcXIkJEABsV,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,274,488,0,0
188,Ghost,BABYMONSTER,182104,Ghost,2025-05-07,68,BABYMONSTER,37qlRGMmN1tStZS0elymXg,1SIocsqdEefUTE6XKGUiVS,5154717,77,k-pop,0,0,YG Entertainment,1,F,2024-04-01,87,488,0,0
189,I Feel Good,BOYNEXTDOOR,155026,No Genre,2025-05-13,72,BOYNEXTDOOR,1klePVubVctBqhlKJvibil,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,81,802,0,0
190,"IF I SAY, I LOVE YOU",BOYNEXTDOOR,161693,No Genre,2025-05-13,65,BOYNEXTDOOR,7GOIrZTegzVty8mhNhRuA0,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,81,802,0,0
191,123-78,BOYNEXTDOOR,160333,No Genre,2025-05-13,71,BOYNEXTDOOR,4XLfRpryO7Qn0SXp1ARIfj,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,81,802,0,0
192,"Earth, Wind & Fire",BOYNEXTDOOR,179040,HOW?,2024-04-15,70,BOYNEXTDOOR,0Tq7v8YAmwdnAYBwyR1pZ4,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,474,802,0,0
193,Dangerous,BOYNEXTDOOR,143773,19.99,2024-09-09,66,BOYNEXTDOOR,0OaHZgVm77zLQNR3kwFf6n,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,327,802,0,0
194,Nice Guy,BOYNEXTDOOR,164920,19.99,2024-09-09,67,BOYNEXTDOOR,6pqyZNnLKyJKtrlf42FQoq,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,327,802,0,0
195,Serenade,BOYNEXTDOOR,183560,WHO!,2023-05-30,66,BOYNEXTDOOR,0mJohf6KCgFeCWbMBAS8RL,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,795,802,0,0
196,One and Only,BOYNEXTDOOR,167986,WHO!,2023-05-30,66,BOYNEXTDOOR,7twsZBhfSJFeaDp2rFHP1d,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,795,802,0,0
197,But Sometimes,BOYNEXTDOOR,175106,WHY..,2023-09-04,66,BOYNEXTDOOR,5TNMJ6Csb2NgSohuz76XJT,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,698,802,0,0
198,But I Like You,BOYNEXTDOOR,137400,WHO!,2023-05-30,65,BOYNEXTDOOR,3cJgwAm8FRkgjRIGatdRct,4hnHLgMSOiqERWBL4jINP1,1635859,72,k-pop,0,0,KOZ Entertainment,1,M,2023-05-23,795,802,0,0
199,TRICKY HOUSE,xikers,184769,HOUSE OF TRICKY : Doorbell Ringing,2023-03-30,56,xikers,2MeEPaL5HsW9njvrtP0Agj,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,856,856,0,0
200,BREATHE,xikers,183080,HOUSE OF TRICKY : SPUR,2025-04-04,56,xikers,2P5bbp7BeVtrECPJaN8AFO,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,120,856,0,0
201,Up All Night,xikers,215667,Up All Night,2025-07-13,48,xikers,2652PzGxxU8jzARLLubmjD,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,20,856,0,0
202,Red Sun,xikers,204724,HOUSE OF TRICKY : Trial And Error,2024-03-08,47,xikers,3z3eX1eG1Gj0YFDhYPkTrl,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,512,856,0,0
203,WITCH,xikers,195520,HOUSE OF TRICKY : WATCH OUT,2024-09-06,46,xikers,336bNqFkCC2owApr6l7osT,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,330,856,0,0
204,ROCKSTAR,xikers,193223,HOUSE OF TRICKY : Doorbell Ringing,2023-03-30,46,xikers,34St2IIfAjXcb18wVUYd3x,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,856,856,0,0
205,You Hide We Seek,xikers,200360,HOUSE OF TRICKY : SPUR,2025-04-04,45,xikers,6djhkFwzJAF1gHxohYooDf,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,120,856,0,0
206,DO or DIE,xikers,210811,HOUSE OF TRICKY : HOW TO PLAY,2023-08-02,45,xikers,6brb7SXjhqHOxsj0jkyQVH,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,731,856,0,0
207,XIKEY,xikers,208618,HOUSE OF TRICKY : Doorbell Ringing,2023-03-30,44,xikers,4cSe8fDRrmCnYmuG7KvQVe,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,856,856,0,0
208,We Don’t Stop,xikers,189441,HOUSE OF TRICKY : Trial And Error,2024-03-08,44,xikers,67ZvVtW278IHsAxnzglQt4,6QHP8St0MzfNDqjKpwtMht,465220,53,"noise music, k-pop, k-rock",0,0,KQ Entertainment,0,M,2023-03-30,512,856,0,0
209,KNOW ABOUT ME,NMIXX,165773,Fe3O4: FORWARD,2025-03-17,69,NMIXX,5yfhzEct1ulyU6g5oVRraj,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,138,1257,0,0
210,Love Me Like This,NMIXX,188718,expérgo,2023-03-20,66,NMIXX,6P3CtlzTKLxcNYGOS3es8m,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,866,1257,0,0
211,DICE,NMIXX,165746,ENTWURF,2022-09-19,65,NMIXX,5aaE27JUylnG7aPtGJPrrC,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,1048,1257,0,0
212,DASH,NMIXX,166979,Fe3O4: BREAK,2024-01-15,64,NMIXX,2RoYgkPzUY0vY7lhUuyus1,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,565,1257,0,0
213,O.O,NMIXX,172936,AD MARE,2022-02-22,63,NMIXX,44zfpg3ndtGESsgpTbWeyE,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,1257,1257,0,0
214,Soñar (Breaker),NMIXX,173053,Fe3O4: BREAK,2024-01-15,57,NMIXX,6UwrPxRaR5HPNLDDl7RcT9,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,565,1257,0,0
215,High Horse,NMIXX,203213,High Horse,2025-03-04,56,NMIXX,2YUUYGB1kMtXKTQ6ajAjTA,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,151,1257,0,0
216,Roller Coaster,NMIXX,179373,Roller Coaster,2023-07-03,59,NMIXX,1fP8o0lIaSIE5jEeblT8df,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,761,1257,0,0
217,See that?,NMIXX,182795,Fe3O4: STICK OUT,2024-08-19,59,NMIXX,3Zice5cXhiPVLwrdBJlyHc,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,348,1257,0,0
218,Papillon,NMIXX,158040,Fe3O4: FORWARD,2025-03-17,59,NMIXX,5hcfx0GaIpU5cLiiN2l8mX,28ot3wh4oNmoFOdVajibBl,3769016,67,k-pop,0,0,SQU4D,0,F,2022-02-22,138,1257,0,0
219,WA DA DA,Kep1er,183693,FIRST IMPACT,2022-01-03,58,Kep1er,4gdiCHNbwugojBqr5Jt3pq,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,1307,1307,0,0
220,Shooting Star,Kep1er,183400,Kep1going On,2024-06-03,54,Kep1er,0k2JbfyqtVhiLqGgNuwQGX,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,425,1307,0,0
221,Yum,Kep1er,149680,Yum,2025-04-09,55,Kep1er,6KsXEZEbBcH16U31sIyofB,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,115,1307,0,0
222,Up!,Kep1er,192026,DOUBLAST,2022-06-20,53,Kep1er,3XZAvh2NCDQYHgJei35VQ1,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,1139,1307,0,0
223,TIPI-TAP,Kep1er,172670,TIPI-TAP,2024-11-01,51,Kep1er,0SCHvh0ZqVd2Wcq2l4kzai,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,274,1307,0,0
224,Back to the City,Kep1er,200000,LOVESTRUCK!,2023-04-10,47,Kep1er,2Zx7YnpyTsQvjAf9elDsgX,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,845,1307,0,0
225,Giddy,Kep1er,184240,LOVESTRUCK!,2023-04-10,47,Kep1er,6blIAzkMKENKqAfMwj5cZQ,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,845,1307,0,0
226,Galileo,Kep1er,188253,Magic Hour,2023-09-25,45,Kep1er,2nehY8ewjt4clnD40SclwM,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,677,1307,0,0
227,MVSK,Kep1er,190706,FIRST IMPACT,2022-01-03,44,Kep1er,0dTEMO9G2uu9Vbu3f8Swto,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,1307,1307,0,0
228,THE GIRLS (Can’t turn me down) (Remastered),Kep1er,237960,TROUBLESHOOTER,2022-10-13,36,Kep1er,4J4OBQ69Fx4ST0doz48FE4,5R7AMwDeroq6Ls0COQYpS4,1722118,56,k-pop,0,0,WakeOne Entertainment,0,F,2022-01-03,1024,1307,0,0
229,SET NET G0?!,CRAVITY,165013,Dare to Crave,2025-06-23,52,CRAVITY,1RsaPPE4HELB8slPTI9SO8,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
230,Love or Die,CRAVITY,167386,EVERSHINE,2024-02-26,47,CRAVITY,4mNYuIZVcHy6TUBoaCnGpF,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,523,1936,0,0
231,On My Way,CRAVITY,174000,Dare to Crave,2025-06-23,45,CRAVITY,5Yo3J2OYbUIdv8jmNfDe71,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
232,SWISH,CRAVITY,171026,Dare to Crave,2025-06-23,44,CRAVITY,7aCHlGLOhRfD57Zezyv0ft,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
233,Underdog,CRAVITY,187026,Dare to Crave,2025-06-23,43,CRAVITY,73GFFYD1exui95W5i31Fnv,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
234,PARANOIA,CRAVITY,184026,Dare to Crave,2025-06-23,42,CRAVITY,0fjLXX24OIVwrHLjb6xMI2,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
235,"Marionette (Sung by SERIM, MINHEE, TAEYOUNG)",CRAVITY,177026,Dare to Crave,2025-06-23,42,CRAVITY,7is1utGEhAVQGYHDpztjs3,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
236,Rendez-vous,CRAVITY,198000,Dare to Crave,2025-06-23,42,CRAVITY,0rLXZKGpfWBHPqYizd8V6E,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
237,"Straight Up To Heaven (Sung by JUNGMO, WOOBIN, SEONGMIN)",CRAVITY,145026,Dare to Crave,2025-06-23,42,CRAVITY,7duhES1GVcVa0qvktJhQos,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
238,Love Me Again,CRAVITY,192026,Dare to Crave,2025-06-23,42,CRAVITY,7kjk0ntJOUPKaLR1iyQwu3,6FkhUhUwSPl3mGB6mmE8wn,721990,51,"k-pop, noise music",0,0,Starship Entertainment,0,M,2020-04-14,40,1936,0,0
239,GingaMingaYo (the strange world),Billlie,215800,the collective soul and unconscious: chapter one,2022-02-23,53,Billlie,53Wa5dwbGUT8Jcg08FYfV5,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,1256,1361,0,0
240,BYOB (bring your own best friend),Billlie,158068,side-B : memoirs of echo unseen,2023-10-23,51,Billlie,1XC46heLGYz83ResGphueE,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,649,1361,0,0
241,EUNOIA,Billlie,203107,the Billage of perception: chapter three,2023-03-28,48,Billlie,0a56sRmdBxCON2nkEgjDqC,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,858,1361,0,0
242,trampoline,Billlie,202969,trampoline,2024-10-11,42,Billlie,3Om8AyxxhSpTAHQIfmmfpi,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,295,1361,0,0
243,RING X RING,Billlie,200933,the Billage of perception : chapter one,2021-11-10,43,Billlie,4J4n4e8gwvzsHQ6DEqnwCV,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,1361,1361,0,0
244,RING ma Bell (what a wonderful world),Billlie,206717,the Billage of perception: chapter two,2022-08-31,42,Billlie,6hcSUO1ulqk5bCuJachSIY,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,1067,1361,0,0
245,nevertheless,Billlie,205934,the Billage of perception: chapter three,2023-03-28,40,Billlie,0fcOEJWXkYbgUBpaZW4snF,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,858,1361,0,0
246,remembrance candy,Billlie,184038,Of All We Have Lost,2024-10-16,40,Billlie,1WV46UVrf9vLj9rpl6Ebf1,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,290,1361,0,0
247,B’rave ~ a song for Matilda,Billlie,217206,the Billage of perception: chapter two,2022-08-31,39,Billlie,033B2EdzgTJuj5H2U09isr,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,1067,1361,0,0
248,flipp!ng a coin,Billlie,195053,the Billage of perception : chapter one,2021-11-10,38,Billlie,0jMpPkXZHfsIFQ6cOK4zEe,2GQxKDojobwBjZMPf7aoh0,666856,48,k-pop,0,0,Mystic Story,0,F,2021-11-10,1361,1361,0,0
249,Summer Was You,H1-KEY,192040,H1-KEY 4th Mini Album [Lovestruck],2025-06-26,59,H1-KEY,7fiSE0NQwgJPj5QHhln8L1,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,37,1305,0,0
250,Rose Blossom,H1-KEY,195480,H1-KEY 1st Mini Album [Rose Blossom],2023-01-05,51,H1-KEY,29j6SXQOmfSbiemMriO25W,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,940,1305,0,0
251,Thinkin' About You,H1-KEY,187226,H1-KEYnote #1 [Thinkin' About You],2024-01-19,40,H1-KEY,3GF5L6dW04zWSP9SYAtp5L,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,561,1305,0,0
252,Good for U,H1-KEY,174040,H1-KEY 4th Mini Album [Lovestruck],2025-06-26,45,H1-KEY,0bOgz1Srpp0qCSWAdNrOYV,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,37,1305,0,0
253,Let It Burn,H1-KEY,181693,H1-KEY 3rd Mini Album [LOVE or HATE],2024-06-19,44,H1-KEY,61ErurYjc1oFru6WZgic8X,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,409,1305,0,0
254,Let Me Be Your Sea,H1-KEY,188000,H1-KEY 4th Mini Album [Lovestruck],2025-06-26,42,H1-KEY,5ovEBpKRTo7HpWXNNzBJda,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,37,1305,0,0
255,"One, Two, Three, Four",H1-KEY,154386,H1-KEY 4th Mini Album [Lovestruck],2025-06-26,40,H1-KEY,7gAQID8Ub3J2weIuQColHi,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,37,1305,0,0
256,SEOUL (Such a Beautiful City),H1-KEY,189693,H1-KEY 2nd Mini Album [Seoul Dreaming],2023-08-30,39,H1-KEY,0SRAuCAtprYCuoks38G5GU,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,703,1305,0,0
257,Time to Shine,H1-KEY,198906,H1-KEY 2nd Mini Album [Seoul Dreaming],2023-08-30,33,H1-KEY,0HVQq7NPFNvnTSQA61U4fl,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,703,1305,0,0
258,ATHLETIC GIRL,H1-KEY,212613,ATHLETIC GIRL,2022-01-05,35,H1-KEY,0qu54GVbhmBFjpsgiG32PL,5GwQwY63I9hrUUFlQB8FYU,159029,48,k-pop,0,0,Grandline Group,0,F,2022-01-05,1305,1305,0,0
259,Fly Up,RIIZE,178175,ODYSSEY - The 1st Album,2025-05-19,58,RIIZE,4rRDmXBKB2X2Jnb8yLzAKZ,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,75,698,0,0
260,Get A Guitar,RIIZE,160371,Get A Guitar,2023-09-04,60,RIIZE,3Dah48XTdzVtbIl4dUn6l4,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,698,698,0,0
261,Boom Boom Bass,RIIZE,152889,RIIZING - The 1st Mini Album,2024-06-17,60,RIIZE,2J194R0KIKbK7bTHfUHPDB,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,411,698,0,0
262,Memories,RIIZE,178013,Memories,2023-08-21,55,RIIZE,11s5p72subU7SHJPzyR2Lq,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,712,698,0,0
263,Love 119,RIIZE,173489,RIIZING - The 1st Mini Album,2024-06-17,55,RIIZE,0QlNUEvJTe2QtXprDcfaOA,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,411,698,0,0
264,Bag Bad Back,RIIZE,192835,ODYSSEY - The 1st Album,2025-05-19,57,RIIZE,6fmhKXTt98FlguELVyqVOf,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,75,698,0,0
265,Impossible,RIIZE,182332,RIIZING - The 1st Mini Album,2024-06-17,54,RIIZE,1JTmrZwZhaP1yYJtuzfvJ9,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,411,698,0,0
266,Talk Saxy,RIIZE,190941,RIIZING - The 1st Mini Album,2024-06-17,51,RIIZE,4Ly8KdojCH1dQAn47eiui6,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,411,698,0,0
267,Odyssey,RIIZE,152267,ODYSSEY - The 1st Album,2025-05-19,54,RIIZE,20JYmd4p72UjSiF3DLAHXA,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,75,698,0,0
268,Ember to Solar,RIIZE,200547,ODYSSEY - The 1st Album,2025-05-19,53,RIIZE,3v2tiYwjQ7ld3O9kQAoVsE,2jOm3cYujQx6o1dxuiuqaX,1329740,69,k-pop,0,0,SM Entertainment,1,M,2023-09-04,75,698,0,0
